ds_owner,id,handedness,gender,age_group,education,color_blindness,hours_sleep,art_light_r_w,light_dir_r_s,photo_training,carto_gis_training,geovis_3d_training,satellite_training,photo_exposure,carto_gis_exposure,geovis_3d_exposure,satellite_exposure,mask,circle_below,circle_above,shapes_01,shapes_02,shapes_03,shapes_04,shapes_05,shapes_06,shapes_07,shapes_08,shapes_09,shapes_10,Q10_R000_0,Q10_R000_270,Q10_R000_292_5,Q10_R000_315,Q10_R000_337_5,Q20_R045_0,Q20_R045_270,Q20_R045_292_5,Q20_R045_315,Q20_R045_337_5,Q30_R090_0,Q30_R090_270,Q30_R090_292_5,Q30_R090_315,Q30_R090_337_5,Q40_R135_0,Q40_R135_270,Q40_R135_292_5,Q40_R135_315,Q40_R135_337_5,Q50_V000_0,Q50_V000_270,Q50_V000_292_5,Q50_V000_315,Q50_V000_337_5,Q60_V045_0,Q60_V045_270,Q60_V045_292_5,Q60_V045_315,Q60_V045_337_5,Q70_V090_0,Q70_V090_270,Q70_V090_292_5,Q70_V090_315,Q70_V090_337_5,Q80_V135_0,Q80_V135_270,Q80_V135_292_5,Q80_V135_315,Q80_V135_337_5
v,20,r,m,23,BSc Meteorology,no,7-8 hours,overhead,"K,L,M",5,5,5,5, , , , ,,,,,,,,,,,,,,5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,4,5,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1
v,21,r,m,22,BSc Environmental Sciences,no,6-7 hours,desktop,J,1,4,4,4,never, , , ,,,,,,,,,,,,,,5,1,1,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,1,4,1,5,1,5,1,1,5,1,5,1,1,5,5,1,5,1,5,5,5,1
v,22,r,f,24,BSc Environmental Sciences,no,4-5 hours,overhead,"C,G",1,3,1,1, , , , ,,,,,,,,,,,,,,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
v,23,r,f,21,BSc Environmental Sciences,no,7-8 hours,overhead,"B,C,D,G,L",1,1,1,1, , , , ,,,,,,,,,,,,,,5,1,1,5,5,5,5,5,5,5,5,4,5,5,5,5,1,5,5,5,1,5,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1
v,24,r,m,21,BSc Environmental Sciences,no,5-6 hours,overhead,C,3,4,4,4, , , , ,,,,,,,,,,,,,,5,1,2,2,4,4,1,5,5,5,5,4,5,5,5,5,1,4,5,5,2,1,1,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,2,2
v,25,r,f,21,BSc Geography,no,7-8 hours,overhead,"F,M",5,5,4,5, , , , ,,,,,,,,,,,,,,4,2,2,4,4,5,4,5,4,2,4,2,4,4,4,5,1,5,5,3,1,1,1,1,1,4,5,5,2,1,1,3,2,3,2,1,5,5,5,1
v,26,l,m,21,BSc Geography,no,4-5 hours,overhead,"C,F",4,4,4,4, , , , ,,,,,,,,,,,,,,2,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,4,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1
v,27,l,f,21,BSc Environmental Sciences,no,6-7 hours,desktop,"C,G,J,M",5,4,5,4, , , , ,,,,,,,,,,,,,,5,1,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
v,28,b,m,22,BSc Chemistry,no,5-6 hours,overhead,"C,E,H,K,M",4,4,1,4, , , , ,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,5,2,2,1
v,29,r,f,22,BSc Geoinformatics,no,5-6 hours,overhead,"A,B,C,D,E,F,G,L,M",5,2,5,5, , , , ,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1
v,30,r,f,21,BSc Geography,no,7-8 hours,overhead,"C,F,J",2,2,2,2,daily,daily,daily, ,,,,,,,,,,,,,,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1
